"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 18 18:28:01 IST 2024","Thu Jan 18 18:28:07 IST 2024","5964","chromium","example.spec.js","","","","has title",""
"passed","Thu Jan 18 18:28:01 IST 2024","Thu Jan 18 18:28:08 IST 2024","6498","chromium","example.spec.js","","","","get started link",""
